timestamp,micro_web_transaction_time,micro_vus,mono_web_transaction_time,mono_vus,hybrid_web_transaction_time,hybrid_vus,dist_micro_web_transaction_time,dist_micro_vus,dist_mono_web_transaction_time,dist_mono_vus,dist_hybrid_web_transaction_time,dist_hybrid_vus
1,570.6448389999999,1.0,0,1.0,26.374078,1.0,127.483633,1.0,271.693444,1.0,0,1.0
2,84.480663,1.0,0,1.0,64.620126,1.0,100.559386,1.0,75.277486,1.0,0,1.0
3,91.906576,1.0,0,1.0,14.26721,1.0,108.95814100000001,1.0,163.291743,1.0,0,1.0
4,208.87700500000005,2.0,0,2.0,41.27475700000001,2.0,293.616939,2.0,149.463454,2.0,0,2.0
5,161.51335200000003,2.0,0,2.0,207.88187100000002,2.0,215.496975,2.0,195.281251,2.0,5491.415016999998,2.0
6,77.78376300000001,2.0,0,2.0,96.164288,2.0,253.69613299999997,2.0,193.87681600000002,2.0,946.0891889999999,2.0
7,570.1802010000001,3.0,0,3.0,284.882274,3.0,321.80975499999994,3.0,366.89554200000003,3.0,158.10767,3.0
8,124.34124499999999,3.0,0,3.0,111.644724,3.0,80.65334,3.0,91.516629,3.0,121.01844399999999,3.0
9,205.12279099999998,3.0,0,3.0,315.235282,3.0,400.90073500000005,3.0,236.452911,3.0,648.8347600000001,3.0
10,210.94707700000004,4.0,0,4.0,475.365416,4.0,370.70460099999997,4.0,306.744476,4.0,216.398425,4.0
11,243.76968899999994,4.0,0,4.0,170.560761,4.0,370.47688,4.0,428.8138870000001,4.0,571.625279,4.0
12,103.758725,4.0,0,4.0,267.46868099999995,4.0,553.090116,4.0,268.01416,4.0,420.21259000000003,4.0
13,424.3897570000001,5.0,31551.299797,5.0,210.51364399999997,5.0,138.611411,5.0,380.0281250000001,5.0,352.797245,5.0
14,443.86658500000004,5.0,1014.317637,5.0,191.625551,5.0,318.66207899999995,5.0,191.48645299999998,5.0,241.62173599999997,5.0
15,391.88154900000006,5.0,175.32635499999998,5.0,414.59644999999995,5.0,483.19313100000005,5.0,453.015483,5.0,683.485745,5.0
16,159.626047,6.0,1158.7467669999999,6.0,303.73830399999997,6.0,573.462842,6.0,292.30485400000003,6.0,754.496909,6.0
17,316.82030699999996,6.0,719.152862,6.0,371.35384099999993,6.0,316.364988,6.0,505.774612,6.0,603.767889,6.0
18,428.9788970000001,6.0,978.8884059999999,6.0,361.133465,6.0,514.451687,6.0,354.54431,6.0,859.1187850000001,6.0
19,1009.340735,7.0,266.61403099999995,7.0,512.9506409999999,7.0,671.3763199999997,7.0,625.0274040000002,7.0,279.81598199999996,7.0
20,154.142691,7.0,1049.685012,7.0,207.105508,7.0,468.05825699999997,7.0,606.275922,7.0,689.1207499999999,7.0
21,613.4162309999999,7.0,1306.5275909999993,7.0,485.903325,7.0,976.2482489999999,7.0,475.26936900000015,7.0,1045.4132570000004,7.0
22,409.85079200000007,8.0,512.7238629999998,8.0,400.909063,8.0,898.517851,8.0,443.782359,8.0,1173.074107,8.0
23,473.69319499999995,8.0,368.2607029999999,8.0,533.4970059999999,8.0,664.499715,8.0,721.29886,8.0,791.4984979999997,8.0
24,476.58969700000006,8.0,1024.1829959999998,8.0,351.375065,8.0,569.284683,8.0,681.7329070000001,8.0,372.58221999999995,8.0
25,338.47038999999995,9.0,1010.488647,9.0,276.95712899999995,9.0,794.1576759999999,9.0,934.6048329999999,9.0,623.7311520000002,9.0
