timestamp,micro_response_time,micro_vus,mono_response_time,mono_vus,hybrid_response_time,hybrid_vus,dist_micro_response_time,dist_micro_vus,dist_mono_response_time,dist_mono_vus,dist_hybrid_response_time,dist_hybrid_vus
2024-12-14 14:30:11,74.167236,14.0,27.938966,14.0,226.187591,14.0,27.377989,14.0,7.599263,14.0,21.546515,14.0
2024-12-14 14:30:12,89.284442,14.0,28.58455,14.0,61.131378,14.0,130.05441,14.0,49.981291,14.0,28.591483,14.0
2024-12-14 14:30:13,84.359032,15.0,43.909361,15.0,178.195217,15.0,10.92345,15.0,26.339657,15.0,44.023447,15.0
2024-12-14 14:30:14,11.841722,15.0,13.939054,15.0,63.484417,15.0,265.151452,15.0,21.254695,15.0,39.957282,15.0
2024-12-14 14:30:15,6.480081,15.0,14.503714,15.0,67.962779,15.0,93.694977,15.0,31.659705,15.0,79.232144,15.0
2024-12-14 14:30:16,14.221554,16.0,29.842634,16.0,83.895068,16.0,18.651385,16.0,65.181371,16.0,144.882454,16.0
2024-12-14 14:30:17,297.836003,16.0,34.516975,16.0,22.247224,16.0,75.258728,16.0,61.581035,16.0,25.428984,16.0
2024-12-14 14:30:18,36.528523,16.0,31.494473,16.0,10.63449,16.0,71.370669,16.0,32.560253,16.0,24.958773,16.0
2024-12-14 14:30:19,7.848815,17.0,16.796167,17.0,19.864758,17.0,11.093839,17.0,60.880003,17.0,30.572217,17.0
2024-12-14 14:30:20,78.332155,17.0,15.577506,17.0,91.564077,17.0,74.510872,17.0,46.773185,17.0,81.15253,17.0
2024-12-14 14:30:21,10.149701,17.0,34.960784,17.0,23.534803,17.0,22.889395,17.0,29.962451,17.0,40.597028,17.0
2024-12-14 14:30:22,29.07083,18.0,15.950127,18.0,16.14319,18.0,17.888095,18.0,16.574112,18.0,143.663589,18.0
2024-12-14 14:30:23,112.194416,18.0,18.733229,18.0,24.140115,18.0,20.910339,18.0,51.230045,18.0,75.3357,18.0
2024-12-14 14:30:24,350.716283,18.0,40.703472,18.0,100.647854,18.0,23.488459,18.0,18.407502,18.0,51.284939,18.0
2024-12-14 14:30:25,13.296092,19.0,29.93737,19.0,28.958214,19.0,77.68044,19.0,353.747839,19.0,72.003625,19.0
2024-12-14 14:30:26,113.68729,19.0,42.824608,19.0,34.894098,19.0,87.657148,19.0,13.52052,19.0,41.964086,19.0
2024-12-14 14:30:27,13.936366,19.0,45.874429,19.0,107.204191,19.0,106.793693,19.0,152.294221,19.0,125.599638,19.0
2024-12-14 14:30:28,24.792038,20.0,17.923241,20.0,9.967846,20.0,6.593741,20.0,23.772854,20.0,54.098,20.0
2024-12-14 14:30:29,8.615915,20.0,15.363868,20.0,41.002911,20.0,81.485663,20.0,8.089335,20.0,43.623819,20.0
2024-12-14 14:30:30,6.22923,20.0,18.887506,20.0,86.224862,20.0,170.87246,20.0,130.165678,20.0,20.274402,20.0
2024-12-14 14:30:31,10.836544,21.0,20.851072,21.0,83.134365,21.0,35.131529,21.0,19.020822,21.0,33.412391,21.0
2024-12-14 14:30:32,77.785044,21.0,19.385826,21.0,13.801611,21.0,25.780296,21.0,474.111276,21.0,52.207403,21.0
2024-12-14 14:30:33,401.70502,21.0,13.253274,21.0,160.742001,21.0,141.6185,21.0,26.614857,21.0,55.653748,21.0
2024-12-14 14:30:34,48.615301,22.0,30.549882,22.0,72.807885,22.0,13.471218,22.0,22.01645,22.0,48.792446,22.0
2024-12-14 14:30:35,14.771268,22.0,45.015157,22.0,15.018309,22.0,119.705467,22.0,23.039739,22.0,42.338471,22.0
2024-12-14 14:30:36,11.232211,22.0,71.687126,22.0,51.701328,22.0,64.2307,22.0,38.05398,22.0,73.870395,22.0
2024-12-14 14:30:37,10.808433,23.0,16.287597,23.0,26.794319,23.0,19.030573,23.0,13.027277,23.0,231.283437,23.0
2024-12-14 14:30:38,18.383442,23.0,68.738406,23.0,122.725718,23.0,35.047668,23.0,17.369201,23.0,70.708054,23.0
2024-12-14 14:30:39,471.60386,23.0,47.356215,23.0,66.652208,23.0,362.070933,23.0,42.889626,23.0,38.360431,23.0
2024-12-14 14:30:40,158.416161,24.0,33.311482,24.0,181.699954,24.0,12.928052,24.0,18.231957,24.0,29.482118,24.0
2024-12-14 14:30:41,48.189913,24.0,32.401871,24.0,43.36181,24.0,71.055451,24.0,13.84217,24.0,34.227444,24.0
2024-12-14 14:30:42,333.987516,24.0,49.058266,24.0,95.290183,24.0,90.286574,24.0,14.519356,24.0,26.46281,24.0
2024-12-14 14:30:43,16.561749,25.0,62.096312,25.0,75.112101,25.0,12.361072,25.0,14.758803,25.0,50.531824,25.0
2024-12-14 14:30:44,91.797012,25.0,59.360246,25.0,54.114202,25.0,24.856387,25.0,68.443158,25.0,47.51142,25.0
2024-12-14 14:30:45,60.34485,25.0,39.953205,25.0,17.099845,25.0,6.517847,25.0,13.618198,25.0,22.967632,25.0
2024-12-14 14:30:46,10.397444,26.0,13.459938,26.0,22.870708,26.0,15.167915,26.0,23.59149,26.0,23.970349,26.0
2024-12-14 14:30:47,5.354503,26.0,68.221637,26.0,141.27417,26.0,151.652351,26.0,98.15984,26.0,48.557815,26.0
2024-12-14 14:30:48,20.450508,26.0,119.537835,26.0,14.863076,26.0,330.374965,26.0,111.840715,26.0,40.37021,26.0
2024-12-14 14:30:49,23.240299,27.0,139.38199,27.0,15.520248,27.0,19.756521,27.0,18.771492,27.0,34.571874,27.0
2024-12-14 14:30:50,32.250403,27.0,19.173191,27.0,84.196129,27.0,19.375469,27.0,40.234099,27.0,41.415176,27.0
2024-12-14 14:30:51,58.514804,27.0,52.532954,27.0,476.52245,27.0,69.797875,27.0,28.052867,27.0,36.353762,27.0
