timestamp,micro_web_transaction_time,micro_vus,mono_web_transaction_time,mono_vus,hybrid_web_transaction_time,hybrid_vus,dist_micro_web_transaction_time,dist_micro_vus,dist_mono_web_transaction_time,dist_mono_vus,dist_hybrid_web_transaction_time,dist_hybrid_vus
1,589.4885820833333,10.5,1714.375082383333,10.5,710.6548074000001,10.5,782.76473685,10.5,667.7342433666668,10.5,1363.4260850333333,10.5
2,1643.179538166667,30.35,4124.8954079333325,30.366666666666667,2167.0536598333333,30.35,2436.262736633333,30.366666666666667,2535.4522599499996,30.366666666666667,4385.350927099999,30.366666666666667
3,3466.226524583334,50.166666666666664,6081.689097966667,50.166666666666664,6383.060246116668,50.166666666666664,3330.6364440833336,50.166666666666664,4344.139781649998,50.166666666666664,7281.829852483334,50.166666666666664
4,7685.262887599998,69.9,7173.652156166666,69.91666666666667,6895.103155783331,69.9,3374.075294033333,69.91666666666667,6410.00711645,69.91666666666667,10889.336785733332,69.91666666666667
5,8877.5376366,89.78333333333333,11381.59248925,89.8,10436.16107475,89.76666666666667,4125.879640533333,89.8,17564.359095100004,89.8,13800.420678116674,89.8
6,7384.04189015,100.0,13364.437806283333,100.0,15057.22940458333,100.0,5868.606233750002,100.0,9521.64572155,100.0,15027.280981866674,100.0
7,6233.369509983333,100.0,16314.370849700003,100.0,11371.553571150003,100.0,5373.138352683333,100.0,12408.659102333331,100.0,15469.864802466665,100.0
8,6900.473345666669,100.0,12856.971793616667,100.0,8036.575871716669,100.0,7055.874049549999,100.0,5688.890894366666,100.0,18486.206402633332,100.0
9,10983.5810981,100.0,13870.277433983332,100.0,15317.063884600004,100.0,6061.977185016664,100.0,4459.002317050002,100.0,18663.93138358333,100.0
10,9909.82058395,100.0,11545.19951448333,100.0,17776.85955906666,100.0,5543.657937016666,100.0,6263.94491165,100.0,17685.71671073334,100.0
11,8999.621946166664,100.0,12457.108312716662,100.0,14197.899434916666,100.0,5883.873757716665,100.0,6254.561867633334,100.0,19779.202690083326,100.0
12,9470.251602983331,100.0,15598.972327683336,100.0,12191.50783205,100.0,4685.656501733333,100.0,5198.061839649999,100.0,18217.6454606,100.0
13,8517.072887299999,100.0,12042.396376016668,100.0,9123.717436816667,100.0,6468.398644983333,100.0,4458.50391165,100.0,19722.57151183334,100.0
14,9928.709844033334,100.0,14574.095627816667,100.0,8324.207699266666,100.0,4895.845238300001,100.0,5241.451930950001,100.0,18186.765606333338,100.0
15,8468.510936383334,100.0,14108.15284506667,100.0,7938.599858216666,100.0,8650.779318016665,100.0,5229.910606766669,100.0,17181.10398013333,100.0
16,5644.598424616665,104.5,14839.452377183336,104.5,9042.095156466668,104.5,3922.750019666666,104.5,7109.945343016666,104.5,19552.34640433333,104.5
17,17577.010326283347,114.5,19404.546183333332,114.5,9733.603519583334,114.5,6356.171380966666,114.5,5777.851645166667,114.5,18975.82132288333,114.5
18,15117.797160166669,124.5,45747.76183685,124.5,11161.010388266668,124.5,9428.690226466668,124.5,9680.190141266668,124.5,28338.100483566675,124.5
19,13420.283865283336,134.5,23587.36953756666,134.5,15562.149747016663,134.5,5410.136332416668,134.5,6921.0673912,134.5,37365.63370204999,134.5
20,14631.812484100006,144.5,20171.550074166673,144.5,21162.899788450006,144.5,5726.265842549999,144.5,6892.738205750001,144.5,51090.72391105,144.5
21,9595.448619983334,154.5,24880.100939766675,154.5,17448.302128366668,154.5,5458.841550666665,154.5,10437.788228100002,154.51666666666668,64142.891140466665,154.5
22,12274.20533188333,164.5,30574.5757459,164.5,17626.7748845,164.5,8422.678051433331,164.5,10979.774413266668,164.5,73040.68646284999,164.5
23,15037.319442049999,174.5,35630.36803118333,174.5,39218.531244216676,174.5,11765.682455633334,174.5,8624.230524400002,174.5,50185.85289218333,174.5
24,12950.998667700002,184.5,32641.849730316684,184.51666666666668,22328.46282325,184.5,8531.647802033336,184.5,9740.986719950002,184.5,82798.1371072,184.5
25,11918.310879416658,194.5,35865.3727813,194.5,22642.76747468334,194.5,14652.243148916661,194.5,9997.201903749998,194.5,118347.55724331665,194.5
26,12204.806609250003,180.68333333333334,35302.84826963335,180.8,23454.829027750002,180.7,8201.513734316664,180.66666666666666,10436.742168699999,180.56666666666666,66400.55126758336,180.86666666666667
27,9722.613647333334,140.56666666666666,25979.59589003333,140.7,17096.876431666667,140.68333333333334,5454.149819916667,140.68333333333334,21155.829761566674,140.71666666666667,59906.16005258334,140.91666666666666
28,6860.253655450002,100.65,20707.193376333333,100.61666666666666,10509.261645016664,100.63333333333334,5610.274870900001,100.58333333333333,5937.420266000001,100.55,23985.843939966653,100.7
29,4992.315490049999,60.65,6641.297886883333,60.56666666666667,5644.995831749998,60.65,2956.0952318666673,60.63333333333333,2647.6347184333335,60.55,8807.803135033335,60.68333333333333
30,1134.0735041500006,20.633333333333333,2235.934038250001,20.583333333333332,1376.9263079500006,20.633333333333333,1369.9835728999997,20.583333333333332,1452.9018967499999,20.533333333333335,3287.9331211,20.6
