timestamp,micro_web_transaction_time,micro_vus,mono_web_transaction_time,mono_vus,hybrid_web_transaction_time,hybrid_vus,dist_micro_web_transaction_time,dist_micro_vus,dist_mono_web_transaction_time,dist_mono_vus,dist_hybrid_web_transaction_time,dist_hybrid_vus
1,402.7904951333333,5.5,1572.2387540333332,5.5,290.10960516666665,5.5,481.9174811,5.5,373.2573525333334,5.5,725.7185483999998,5.5
2,776.1866690333334,15.5,1856.5114107333332,15.5,1131.2000096333334,15.5,1083.6119926000001,15.5,962.2111342,15.5,2001.1336216666664,15.5
3,1275.5269039000004,25.5,3313.262591133333,25.5,1784.3193618333337,25.5,1924.4371901,25.5,1715.547704166666,25.5,3735.8616407666673,25.5
4,2010.8321724333334,35.2,4936.528224733334,35.233333333333334,2549.7879578333336,35.2,2948.088283166667,35.233333333333334,3355.356815733333,35.233333333333334,5034.840213433333,35.233333333333334
5,2921.4297970666676,45.166666666666664,5497.850365033331,45.166666666666664,3520.5279167,45.166666666666664,3499.7590487,45.166666666666664,3895.454203233333,45.166666666666664,5412.163195966667,45.166666666666664
6,4011.0232521,55.166666666666664,6665.5278309000005,55.166666666666664,9245.592575533336,55.166666666666664,3161.5138394666674,55.166666666666664,4792.825360066664,55.166666666666664,9151.496509,55.166666666666664
7,4918.395172699999,64.96666666666667,6458.469037599999,65.0,6208.211794899999,64.96666666666667,3277.7184073000017,65.0,3545.9718733666655,65.0,10002.545148000001,65.0
8,10452.130602499998,74.83333333333333,7888.835274733331,74.83333333333333,7581.994516666667,74.83333333333333,3470.432180766667,74.83333333333333,9274.042359533332,74.83333333333333,11776.12842346667,74.83333333333333
9,8436.120747299998,84.83333333333333,10271.980770733333,84.83333333333333,9926.5441525,84.83333333333333,3289.3789187000007,84.83333333333333,30360.01953906667,84.83333333333333,13340.328642733335,84.83333333333333
10,9318.954525899997,94.73333333333333,12491.204207766665,94.76666666666667,10945.777996999997,94.7,4962.380362366666,94.76666666666667,4768.698651133333,94.76666666666667,14260.5127135,94.76666666666667
11,7753.926472500001,100.0,11366.961983733332,100.0,11775.946006266666,100.0,4381.977660733334,100.0,10939.468306266663,100.0,15351.850658633333,100.0
12,7014.157307800001,100.0,15361.913628833334,100.0,18338.5128029,100.0,7355.234806766666,100.0,8103.823136833335,100.0,14702.7113051,100.0
13,6343.754221066668,100.0,14756.308331100005,100.0,12689.180492266663,100.0,6715.643124933332,100.0,15238.748841366669,100.0,17869.737070399995,100.0
14,6122.984798899999,100.0,17872.433368299993,100.0,10053.92665003333,100.0,4030.6335804333316,100.0,9578.569363300001,100.0,13069.992534533338,100.0
15,5493.9235352,100.0,13916.587988766665,100.0,8059.653412733334,100.0,7048.882044733332,100.0,4872.841824833334,100.0,15598.184852433329,100.0
16,8307.023156133331,100.0,11797.355598466664,100.0,8013.498330700002,100.0,7062.866054366667,100.0,6504.939963899999,100.0,21374.22795283333,100.0
17,12326.259611766669,100.0,12379.037669299996,100.0,10425.652956566666,100.0,6749.291216766666,100.0,4470.755422166668,100.0,20328.134358199997,100.0
18,9640.90258443333,100.0,15361.517198666666,100.0,20208.474812633336,100.0,5374.663153266666,100.0,4447.249211933334,100.0,16999.728408966665,100.0
19,9020.833089966667,100.0,11534.839123266667,100.0,22468.691056999996,100.0,6080.725497899999,100.0,4657.177478433334,100.0,16914.433322833338,100.0
20,10798.808077933332,100.0,11555.559905699998,100.0,13085.028061133335,100.0,5006.590376133333,100.0,7870.712344866667,100.0,18457.000098633333,100.0
21,9466.640409866664,100.0,13696.628250599997,100.0,11887.926455466664,100.0,6312.861913333333,100.0,6146.645919033335,100.0,18917.709454066666,100.0
22,8532.60348246667,100.0,11217.588374833334,100.0,16507.872414366666,100.0,5454.8856021,100.0,6362.477816233332,100.0,20640.6959261,100.0
23,11354.876112466667,100.0,9846.396858466665,100.0,13786.938929200001,100.0,4422.577306399999,100.0,4314.274051799999,100.0,18809.837311466665,100.0
24,7585.6270935,100.0,21351.547796900002,100.0,10596.076734900002,100.0,4948.735697066668,100.0,6081.849627500001,100.0,17625.45360973334,100.0
25,7647.859567666664,100.0,10363.332057866666,100.0,8679.875438533332,100.0,6486.274294933334,100.0,4385.7042961666675,100.0,22069.878542833343,100.0
26,9386.286206933333,100.0,13721.460694166664,100.0,9567.5594351,100.0,6450.522995033333,100.0,4531.303527133332,100.0,17375.26448083333,100.0
27,9863.392239300001,100.0,11717.988635299998,100.0,9089.866345433335,100.0,4083.986619533332,100.0,6244.025572666668,100.0,15269.800316,100.0
28,9994.027448766665,100.0,17430.202620333333,100.0,7558.549053100001,100.0,5707.7038570666655,100.0,4238.878289233333,100.0,21103.73089666667,100.0
29,8495.800976866667,100.0,13648.314972533337,100.0,8299.2596968,100.0,13356.650385266665,100.0,5558.069310566667,100.0,17528.843008233336,100.0
30,8441.2208959,100.0,14567.9907176,100.0,7577.940019633333,100.0,3944.908250766668,100.0,4901.751902966667,100.0,16833.36495203334,100.0
31,5481.982204933333,102.0,15812.739993866666,102.0,8393.490656933334,102.0,3625.9005219333326,102.0,7070.912658433333,102.0,19767.964805500003,102.0
32,5807.2146443,107.0,13866.164760499998,107.0,9690.699656000003,107.0,4219.599517399999,107.0,7148.978027600001,107.0,19336.728003166663,107.0
33,22613.214225333348,112.0,16098.518495966668,112.0,9384.02432846667,112.0,7179.426854733332,112.0,4713.883194533333,112.0,18424.770300999997,112.0
34,12540.806427233334,117.0,22710.573870700002,117.0,10083.182710700003,117.0,5532.915907199999,117.0,6841.8200958000025,117.0,19526.872344766667,117.0
