timestamp,micro_web_transaction_time,micro_vus,mono_web_transaction_time,mono_vus,hybrid_web_transaction_time,hybrid_vus,dist_micro_web_transaction_time,dist_micro_vus,dist_mono_web_transaction_time,dist_mono_vus,dist_hybrid_web_transaction_time,dist_hybrid_vus
1,230.5797512,2.2,0.0,2.2,163.77100260000003,2.2,227.3879638,2.2,205.0493752,2.2,758.1863504999999,2.2
2,367.6574982,5.5,3691.4030867,5.5,301.1046846,5.5,440.7747711,5.5,410.52852100000007,5.5,545.606291,5.5
3,610.134236,8.8,1025.3131754,8.8,405.45312829999995,8.8,777.5897084,8.8,504.19416140000004,8.8,873.3630036999999,8.8
4,773.5381979,12.2,1426.0450179000002,12.2,1050.1965059,12.2,889.2779708999999,12.2,588.7320792999999,12.2,1440.3083822999997,12.2
5,935.9004798000002,15.5,1799.7874355000004,15.5,1210.8275401,15.5,1097.8652293999999,15.5,885.8267841,15.5,1645.9987753,15.5
6,619.1213293999999,18.8,2343.7017788,18.8,1132.5759828999999,18.8,1263.6927775000001,18.8,1412.0745392000003,18.8,2917.0937074,18.8
7,1021.4571704,22.2,3239.0409315,22.2,1822.3580698,22.2,2120.7790861000003,22.2,1883.8136127999999,22.2,3024.0822061,22.2
8,1051.8527230999998,25.5,3603.1850531000005,25.5,1559.8946449,25.5,1735.7022385999994,25.5,1671.5228614,25.5,3543.0211431,25.5
9,1753.2708182,28.8,3097.5617887999992,28.8,1970.7053707999996,28.8,1916.8302456000001,28.8,1591.3066383000003,28.8,4640.4815731,28.8
10,2840.3807215000006,31.9,2819.0867288,32.0,2267.9661682,31.9,2079.0768018,32.0,3129.6796106,32.0,5786.8574217,32.0
11,1653.0037326999998,35.2,3598.669055,35.2,2450.1044943,35.2,3892.8415473999985,35.2,3187.2147830999997,35.2,4784.659511199999,35.2
12,1539.1120631,38.5,8391.828890399996,38.5,2931.293211,38.5,2872.3465003000006,38.5,3749.1760535000003,38.5,4533.0037074,38.5
13,1737.5683629,41.8,4675.4608078,41.8,2776.2309483999993,41.8,4101.165937,41.8,3877.1018443000003,41.8,5936.6013745,41.8
